district_name,district_code,school_year,grade_3_percent_met_or_exceeded_district,grade_3_participation_rate_district
Mapleton 1,0010,2024-2025,24.6,95.3
Adams 12 Five Star Schools,0020,2024-2025,41.2,93.3
Adams County 14,0030,2024-2025,13.0,96.3
School District 27J,0040,2024-2025,33.6,91.8
Bennett 29J,0050,2024-2025,24.2,94.1
Strasburg 31J,0060,2024-2025,30.4,90.8
Westminster Public Schools,0070,2024-2025,17.3,98.6
Alamosa RE-11J,0100,2024-2025,32.0,98.1
Sangre De Cristo Re-22J,0110,2024-2025,,93.8
Englewood 1,0120,2024-2025,31.8,97.7
Sheridan 2,0123,2024-2025,5.5,96.5
Cherry Creek 5,0130,2024-2025,43.9,89.8
Littleton 6,0140,2024-2025,55.5,94.0
Deer Trail 26J,0170,2024-2025,13.0,82.1
Adams-Arapahoe 28J,0180,2024-2025,20.4,96.0
Byers 32J,0190,2024-2025,46.3,19.1
Archuleta County 50 Jt,0220,2024-2025,32.7,100.0
Walsh RE-1,0230,2024-2025,,100.0
Pritchett RE-3,0240,2024-2025,,20.0
Springfield RE-4,0250,2024-2025,33.3,90.0
Vilas RE-5,0260,2024-2025,,
Campo RE-6,0270,2024-2025,,
Las Animas RE-1,0290,2024-2025,59.4,97.0
McClave Re-2,0310,2024-2025,,66.7
St Vrain Valley RE1J,0470,2024-2025,47.8,93.3
Boulder Valley Re 2,0480,2024-2025,61.4,93.8
Buena Vista R-31,0490,2024-2025,38.1,92.6
Salida R-32,0500,2024-2025,50.5,100.0
Kit Carson R-1,0510,2024-2025,,0.0
Cheyenne County Re-5,0520,2024-2025,,0.0
Clear Creek RE-1,0540,2024-2025,40.0,92.6
North Conejos RE-1J,0550,2024-2025,57.6,92.2
Sanford 6J,0560,2024-2025,56.0,86.2
South Conejos RE-10,0580,2024-2025,,100.0
Centennial R-1,0640,2024-2025,,100.0
Sierra Grande R-30,0740,2024-2025,17.9,100.0
Crowley County RE-1-J,0770,2024-2025,31.8,95.7
Custer County School District C-1,0860,2024-2025,50.0,100.0
Delta County 50(J),0870,2024-2025,40.2,95.2
Denver County 1,0880,2024-2025,41.4,93.5
Dolores County RE No.2,0890,2024-2025,,90.5
Douglas County Re 1,0900,2024-2025,59.7,93.5
Eagle County RE 50,0910,2024-2025,38.1,97.4
Elizabeth School District,0920,2024-2025,43.0,89.3
Kiowa C-2,0930,2024-2025,,100.0
Big Sandy 100J,0940,2024-2025,40.9,100.0
Elbert 200,0950,2024-2025,38.9,100.0
Agate 300,0960,2024-2025,,100.0
Calhan RJ-1,0970,2024-2025,45.5,81.5
Harrison 2,0980,2024-2025,28.7,97.5
Widefield 3,0990,2024-2025,37.5,96.0
Fountain 8,1000,2024-2025,32.1,97.5
Colorado Springs 11,1010,2024-2025,36.4,94.1
Cheyenne Mountain 12,1020,2024-2025,61.4,96.5
Manitou Springs 14,1030,2024-2025,45.3,92.8
Academy 20,1040,2024-2025,57.8,94.0
Ellicott 22,1050,2024-2025,30.8,87.8
Peyton 23 Jt,1060,2024-2025,39.5,100.0
Hanover 28,1070,2024-2025,,92.9
Lewis-Palmer 38,1080,2024-2025,62.1,89.2
District 49,1110,2024-2025,45.3,93.6
Edison 54 JT,1120,2024-2025,,100.0
Miami/Yoder 60 JT,1130,2024-2025,16.7,100.0
Canon City RE-1,1140,2024-2025,42.4,98.6
Fremont RE-2,1150,2024-2025,36.2,97.9
Cotopaxi RE-3,1160,2024-2025,,100.0
Roaring Fork RE-1,1180,2024-2025,36.0,98.0
Garfield Re-2,1195,2024-2025,25.9,97.8
Garfield 16,1220,2024-2025,12.8,97.9
Gilpin County RE-1,1330,2024-2025,53.8,89.7
West Grand 1-JT,1340,2024-2025,12.5,100.0
East Grand 2,1350,2024-2025,40.0,99.0
Gunnison Watershed RE1J,1360,2024-2025,40.8,98.1
Hinsdale County RE 1,1380,2024-2025,,
Huerfano Re-1,1390,2024-2025,36.7,90.9
La Veta Re-2,1400,2024-2025,,55.0
North Park R-1,1410,2024-2025,,85.7
Jefferson County R-1,1420,2024-2025,50.3,95.9
Eads RE-1,1430,2024-2025,70.0,90.9
Plainview RE-2,1440,2024-2025,,
Arriba-Flagler C-20,1450,2024-2025,,100.0
Hi-Plains R-23,1460,2024-2025,,100.0
Stratton R-4,1480,2024-2025,35.0,90.9
Bethune R-5,1490,2024-2025,,100.0
Burlington RE-6J,1500,2024-2025,34.5,98.3
Lake County R-1,1510,2024-2025,9.4,98.5
Durango 9-R,1520,2024-2025,49.3,98.1
Bayfield 10 Jt-R,1530,2024-2025,35.4,97.6
Ignacio 11 JT,1540,2024-2025,20.0,98.0
Poudre R-1,1550,2024-2025,57.3,94.5
Thompson R2-J,1560,2024-2025,42.9,97.6
Estes Park R-3,1570,2024-2025,26.8,97.3
Trinidad 1,1580,2024-2025,42.9,90.9
Primero Reorganized 2,1590,2024-2025,35.0,100.0
Hoehne Reorganized 3,1600,2024-2025,,92.3
Aguilar Reorganized 6,1620,2024-2025,,100.0
Branson Reorganized 82,1750,2024-2025,,0.0
Kim Reorganized 88,1760,2024-2025,,
Genoa-Hugo C113,1780,2024-2025,,100.0
Limon RE-4J,1790,2024-2025,47.4,100.0
Karval RE-23,1810,2024-2025,,
Valley RE-1,1828,2024-2025,26.2,88.4
Frenchman RE-3,1850,2024-2025,,100.0
Buffalo RE-4J,1860,2024-2025,,17.4
Plateau RE-5,1870,2024-2025,,100.0
De Beque 49JT,1980,2024-2025,,100.0
Plateau Valley 50,1990,2024-2025,,100.0
Mesa County Valley 51,2000,2024-2025,40.3,96.4
Creede School District,2010,2024-2025,,100.0
Moffat County RE: No 1,2020,2024-2025,36.3,98.5
Montezuma-Cortez RE-1,2035,2024-2025,31.2,93.9
Dolores RE-4A,2055,2024-2025,48.6,97.2
Mancos Re-6,2070,2024-2025,,9.8
Montrose County RE-1J,2180,2024-2025,30.4,96.8
West End RE-2,2190,2024-2025,,90.9
Brush RE-2(J),2395,2024-2025,13.0,97.1
Fort Morgan Re-3,2405,2024-2025,21.0,100.0
Weldon Valley RE-20(J),2505,2024-2025,,93.3
Wiggins RE-50(J),2515,2024-2025,,6.2
East Otero R-1,2520,2024-2025,24.2,92.2
Rocky Ford R-2,2530,2024-2025,29.6,94.7
Manzanola 3J,2535,2024-2025,,93.3
Fowler R-4J,2540,2024-2025,46.2,96.3
Cheraw 31,2560,2024-2025,,76.5
Swink 33,2570,2024-2025,56.5,100.0
Ouray R-1,2580,2024-2025,45.0,100.0
Ridgway R-2,2590,2024-2025,73.7,100.0
Platte Canyon 1,2600,2024-2025,56.0,94.3
Park County RE-2,2610,2024-2025,36.1,97.3
Holyoke Re-1J,2620,2024-2025,22.7,95.7
Haxtun RE-2J,2630,2024-2025,42.9,100.0
Aspen 1,2640,2024-2025,56.5,95.8
Granada RE-1,2650,2024-2025,17.4,92.0
Lamar Re-2,2660,2024-2025,28.3,97.4
Holly RE-3,2670,2024-2025,58.8,100.0
Wiley RE-13 Jt,2680,2024-2025,63.6,95.7
Pueblo City 60,2690,2024-2025,24.4,93.0
Pueblo County 70,2700,2024-2025,44.0,97.4
Meeker RE-1,2710,2024-2025,65.0,97.6
Rangely RE-4,2720,2024-2025,46.9,100.0
Upper Rio Grande School District C-7,2730,2024-2025,25.0,96.0
Monte Vista C-8,2740,2024-2025,33.3,90.6
Sargent RE-33J,2750,2024-2025,52.6,90.5
Hayden RE-1,2760,2024-2025,36.8,97.4
Steamboat Springs RE-2,2770,2024-2025,51.2,97.2
South Routt RE 3,2780,2024-2025,,96.0
Mountain Valley RE 1,2790,2024-2025,,87.5
Moffat 2,2800,2024-2025,,100.0
Center 26 JT,2810,2024-2025,27.0,100.0
Silverton 1,2820,2024-2025,,60.0
Telluride R-1,2830,2024-2025,66.0,98.1
Norwood R-2J,2840,2024-2025,52.9,94.4
Julesburg Re-1,2862,2024-2025,,0.0
Revere School District,2865,2024-2025,,0.0
Summit RE-1,3000,2024-2025,45.8,96.7
Cripple Creek-Victor RE-1,3010,2024-2025,,100.0
Woodland Park Re-2,3020,2024-2025,38.5,97.7
Akron R-1,3030,2024-2025,,12.9
Arickaree R-2,3040,2024-2025,,100.0
Otis R-3,3050,2024-2025,,100.0
Lone Star 101,3060,2024-2025,,0.0
Woodlin R-104,3070,2024-2025,,
Weld County RE-1,3080,2024-2025,23.4,97.9
Eaton RE-2,3085,2024-2025,53.5,94.1
Weld County School District RE-3J,3090,2024-2025,34.0,98.5
Weld RE-4,3100,2024-2025,49.6,96.0
Johnstown-Milliken RE-5J,3110,2024-2025,29.9,98.3
Greeley 6,3120,2024-2025,24.0,97.8
Platte Valley RE-7,3130,2024-2025,48.0,99.0
Weld Re-8 Schools,3140,2024-2025,22.1,95.1
Ault-Highland RE-9,3145,2024-2025,29.1,64.7
Briggsdale RE-10,3146,2024-2025,,12.5
Prairie RE-11,3147,2024-2025,,100.0
Pawnee RE-12,3148,2024-2025,,100.0
Yuma 1,3200,2024-2025,21.8,98.2
Wray RD-2,3210,2024-2025,47.3,100.0
Idalia RJ-3,3220,2024-2025,,90.9
Liberty J-4,3230,2024-2025,,100.0
Charter School Institute,8001,2024-2025,35.4,96.6
Colorado School for the Deaf and Blind,9000,2024-2025,,80.0
Centennial BOCES,9035,2024-2025,,
Expeditionary BOCES,9130,2024-2025,30.0,80.0
Education reEnvisioned BOCES,9170,2024-2025,25.5,21.2
