state,state_name,assessment,subject,grade,school_year,administration_year,below_basic_analog_label,below_basic_analog_pct,official_statewide_grade3_ela_advanced_or_proficient_pct,official_enrollment,official_statewide_grade3_ela_participation_rate,source_notes,source_url,source_page_url,official_statewide_grade3_ela_level3_or_4_pct,official_statewide_grade3_ela_standard_met_or_exceeded_pct,official_with_scores,official_statewide_grade3_ela_met_or_exceeded_pct,official_total_students,official_valid_test_takers,official_number_scored,official_statewide_grade3_ela_level2_or_above_pct,official_statewide_grade3_ela_level3_or_above_pct,official_statewide_grade3_ela_level4_or_5_pct,official_statewide_grade3_ela_met_achievement_standard_pct,official_statewide_grade3_ela_proficient_or_distinguished_pct,official_statewide_grade3_ela_at_or_above_proficiency_pct,official_statewide_grade3_reading_proficient_or_distinguished_pct,official_statewide_grade3_ela_mastery_or_advanced_pct,official_statewide_grade3_ela_proficient_pct,official_statewide_grade3_ela_proficient_or_advanced_pct,official_not_tested,official_statewide_grade3_ela_percent_proficient_pct,official_statewide_grade3_reading_grade_level_proficient_pct,official_statewide_grade3_ela_percent_proficient_or_above_pct,official_statewide_grade3_ela_meets_or_exceeds_pct,official_statewide_grade3_rla_approaches_or_above_pct,official_statewide_grade3_rla_meets_or_above_pct,official_statewide_grade3_rla_masters_pct,official_statewide_grade3_reading_advanced_pct,official_statewide_grade3_reading_proficient_pct,official_statewide_grade3_reading_passed_pct,official_statewide_grade3_ela_level3_or_4_tested_only_pct,official_statewide_grade3_ela_meets_standard_or_above_pct,official_statewide_grade3_ela_meeting_or_advanced_tested_only_pct
AK,Alaska,AK STAR,ELA,03,2024-2025,2025,Needs Support,36.3,28.68,9861.0,83.76,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate. The published exact bins sum to 28.7 percent proficient or advanced, consistent with the results page's 28.68 percent.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,ACAP,ELA,03,2024-2025,2025,Level 1,9.0,,,,Alabama's official 2024-25 state assessment overview reports statewide Grade 3 ACAP ELA percentages for Levels 1 through 4. Published percentages sum to 99% because of rounding.,https://www.alabamaachieves.org/wp-content/uploads/2025/07/SBOE_20250716_2024-2025-Student-Assessment-State-Data-Overview_v1.0.pdf,https://www.alabamaachieves.org/assessment/acap/,,,,,,55930.0,,,,,,,,,,,,,66.0,,,,,,,,,,,,
AR,Arkansas,ATLAS,ELA,03,2024-2025,2025,Level 1,29.3,,,,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Arizona,AASA,ELA,03,2024-2025,2025,Minimally Proficient,51.7,,,,"Arizona's official AASA 2025 technical report, Table C.1, reports statewide Grade 3 ELA counts and percentages for all four performance levels.",https://www.azed.gov/sites/default/files/2026/04/AASA_2025_Technical_Report.pdf,https://www.azed.gov/assessment/assessments/aasa,,,,,,79299.0,,,,,,,,,,,,,35.9,,,,,,,,,,,,
CA,California,CAASPP,ELA,03,2024-2025,2025,100 - Standard Met/Exceeded,56.0,,,,California's 2025 CAASPP ELA statewide Grade 3 workbook publishes WithScores and Standard Met/Exceeded only. The public workbook used here does not expose the full statewide performance-level split. The below-basic analog remains a not-met proxy defined here as 100 - Standard Met/Exceeded.,https://www.cde.ca.gov/ta/tg/ca/documents/elaallall2025.xlsx,https://www.cde.ca.gov/ta/tg/ca/caaspp2025datasummary.asp,,44.0,405924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Colorado,CMAS,ELA,03,2024-2025,2025,Did Not Yet Meet Expectations,22.4,,,,Exact tier percentages are reported directly in the Colorado CMAS statewide workbook.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Connecticut,Smarter Balanced,ELA,03,2024-2025,2025,Level 1 Not Met,30.7,,,99.4,"Connecticut EdSight's public Smarter Balanced report publishes the statewide Grade 3 ELA performance-level percentages directly for All Students. The saved extract also reports 36945.0 total students, 36719.0 tested, 36713.0 scored tests, and an average VSS of 2420.0.",https://edsight.ct.gov/SASStoredProcess/guest?_grade=3&_year=2024-25&_district=State+of+Connecticut&_school=&_subject=ELA&_subgroup=All+Students&_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FSmarterBalancedAssessmentReport_SiteCore&_select=Submit,https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation,,,,46.9,36945.0,36719.0,36713.0,,,,,,,,,,,,,,,,,,,,,,,,
DC,District of Columbia,DC CAPE,ELA,03,2024-2025,2025,Did Not Yet Meet Expectations,34.4,,,,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total. The companion all-tests Meeting/Exceeding row reports 30.4 percent proficient across DC CAPE plus MSAA.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106,,,,30.2,,6650.0,,65.6,48.5,30.2,,,,,,,,,,,,,,,,,,,,,
DE,Delaware,Smarter Balanced,ELA,03,2024-2025,2025,100 - Met Achievement Standard,61.28,,,,"Delaware's public statewide Grade 3 ELA rows expose a proficiency figure but not the full statewide performance-level split, so the below-basic analog is filled as 100 - Met Achievement Standard.",https://data.delaware.gov/api/views/ms6b-mt82/rows.csv?accessType=DOWNLOAD,https://education.delaware.gov/educators/academic-support/standards-and-assessments/english-and-language-arts/assessments/,,,,,,,,,,,38.72,,,,,,,,,,,,,,,,,,,,
FL,Florida,FAST,ELA,03,2024-2025,2025,Level 1,22.0,,,,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the statewide district workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml,,,,,,,,78.0,57.0,,,,,,,,,,,,,,,,,,,,,,
GA,Georgia,Georgia Milestones,ELA,03,2024-2025,2025,Beginning Learner,36.902085920430075,,,,Georgia publishes exact statewide Grade 3 Georgia Milestones ELA performance-level percentages in the state summary workbook.,https://url.gadoe.org/r9zz0,https://gadoe.org/assessment-accountability/georgia-milestones/,,,,,,,,,,,,34.919911344451954,,,,,,,,,,,,,,,,,,,
HI,Hawaii,Smarter Balanced,ELA,03,2024-2025,2025,100 - Met or Exceeded Achievement Standard,50.1,,,,"Hawaii's official 2024-25 Smarter Balanced statewide workbook reports 49.9% of Grade 3 ELA students met or exceeded the achievement standard, but the state row used here does not publish the full performance-level split.",https://hawaiipublicschools.org/wp-content/uploads/SBA2024-25.xlsx,https://hawaiipublicschools.org/academics/types-of-testing/,,,,,,12122.0,,,,,,,,,,,,,49.9,,,,,,,,,,,,
IA,Iowa,ISASP,ELA,03,2024-2025,2025,100 - Proficient,32.0,,,,Iowa's official 2025 statewide assessment results report Grade 3 ELA proficiency at 68%. The public statewide summary used here does not expose the full performance-level split.,https://educate.iowa.gov/media/11696/download?inline=,https://educate.iowa.gov/press-release/2025-08-20/iowa-achieves-impressive-gains-early-literacy-science-new-2025-spring-statewide-student-assessment,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,
ID,Idaho,ISAT,ELA,03,2023-2024,2024,Level 1,29.0,,,,Idaho's official 2023-24 ISAT technical report publishes statewide Grade 3 ELA percentages for Levels 1 through 4. This one-year-older state result replaces the older federal proficiency proxy; published level percentages sum to 99% because of rounding.,https://www.sde.idaho.gov/assessment/isat-cas/files/general/SY2023-24-Idaho-SB-Tech-Report.pdf,https://www.sde.idaho.gov/about-us/departments/assessment-accountability/idaho-standards-achievement-test-isat/,,,,,,23374.0,,,,,,,,,,,,,48.0,,,,,,,,,,,,
IL,Illinois,IAR,ELA,03,2024-2025,2025,100 - Proficient,52.7,,,,Illinois's official 2025 Report Card public dataset reports statewide Grade 3 IAR ELA proficiency at 47.3%. The statewide row used here does not expose the full performance-level split.,https://www.isbe.net/Documents/2025-Report-Card-Public-Data-Set.xlsx,https://www.isbe.net/Pages/Illinois-State-Report-Card-Data.aspx,,,,,,,,,,,,,,,,,,,47.3,,,,,,,,,,,,
IN,Indiana,ILEARN,ELA,03,2024-2025,2025,Below Proficiency,39.18,,,,Indiana publishes statewide Grade 3 ILEARN counts by performance level in the statewide summary workbook.,https://secure.in.gov/doe/files/ILEARN-2025-Grade3-8-Final-Statewide-Summary_20250714.xlsx,https://secure.in.gov/doe/it/data-center-and-reports/,,,,,,,,,,,,,40.26,,,,,,,,,,,,,,,,,,
KS,Kansas,Kansas State Assessment,ELA,03,2024-2025,2025,Level 1,27.2,,,,Kansas's official 2024-25 annual report publishes statewide Grade 3 ELA percentages for Kansas State Assessment Levels 1 through 4.,https://www.ksde.gov/docs/default-source/crp/ar-2024-25-coherence.pdf?sfvrsn=42d42afb_3,https://www.ksde.gov/Home/Quick-Links/News-Room/Annual-Reports,,,,,,,,,,,,,,,,,,,51.9,,,,,,,,,,,,
KY,Kentucky,KSA,ELA,03,2023-2024,2024,Novice,24.8,,,,Kentucky publishes exact Grade 3 Reading performance-level percentages in the KSA yearbook.,https://www.education.ky.gov/AA/Reports/Documents/KY1161534_KY_SP25_Yearbook.pdf,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx,,,,,,,,,,,,,,46.9,,,,,,,,,,,,,,,,,
LA,Louisiana,LEAP,ELA,03,2024-2025,2025,Unsatisfactory,17.0,,,,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,
MA,Massachusetts,MCAS,ELA,03,2024-2025,2025,Not Meeting Expectations,19.0,,,,"Massachusetts School and District Profiles publishes the statewide 2025 MCAS Grade 3 ELA achievement-level split directly on the state profile page, including Exceeding, Meeting, Partially Meeting, and Not Meeting Expectations. The page also reports the combined Meeting or Exceeding Expectations rate directly.",https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&,https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&,,,,42.0,,66312.0,,,,,,,,,,,,,,,,,,,,,,,,,
MD,Maryland,MCAP,ELA,03,2024-2025,2025,PL 1,7.3,,,,Maryland Report Card's public 2025 MCAP English Language Arts endpoint publishes the statewide Grade 3 All Students performance-level percentages directly.,https://reportcard.msde.maryland.gov/Assessments/GetELAPerformanceBarChart,https://reportcard.msde.maryland.gov/Graphs/#/Assessments/ELAPerformance,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,
ME,Maine,Maine Through Year Assessment,ELA,03,2024-2025,2025,Well Below State Expectations,12.6,,,,"Maine's official Spring 2025 technical report, Table 8.2, publishes statewide Grade 3 Reading percentages for all four achievement levels.",https://www.maine.gov/doe/sites/maine.gov.doe/files/inline-files/Assessment%20-%20Maine%20Through%20Year%20Assessment%20Spring%2025%20Technical%20Report%20-%203.31.2026.pdf,https://www.maine.gov/doe/Testing_Accountability/MECAS/math_ELA_Literacy,,,,,,12530.0,,,,,,,,,,,,,60.3,,,,,,,,,,,,
MI,Michigan,M-STEP,ELA,03,2024-2025,2025,Not Proficient,36.5,,,,Michigan's official 2025 release reports 38.9% Proficient or Advanced and 24.6% Partially Proficient for Grade 3 M-STEP ELA. Not Proficient is the remaining 36.5%; the state release combines the two upper tiers.,https://www.michigan.gov/mde/news-and-information/press-releases/2025/08/27/michigan-students-perform-better-on-most-tests,https://www.michigan.gov/mde/news-and-information/press-releases/2025/08/27/michigan-students-perform-better-on-most-tests,,,,,,,,,,,,,,,,,,,38.9,,,,,,,,,,,,
MN,Minnesota,Statewide RLA Assessment (Ed Data Express),ELA,03,2021-2022,2022,100 - Percent Proficient,51.9,,,,Ed Data Express publishes a statewide Grade 3 reading/language arts Percent Proficient row for the state assessment at the SEA level. The below-basic analog is defined here as 100 - Percent Proficient.,https://eddataexpress.ed.gov/download/data-builder/data-download-tool?f%5B0%5D=program%3ATitle+I%2C+Part+A&f%5B1%5D=school_year%3A2021-2022&f%5B2%5D=type_of_data%3APerformance&f%5B3%5D=level%3AState+Education+Agency&f%5B4%5D=all_students%3AAll+Students+in+SEA&f%5B5%5D=age_grade%3AGrade+3&f%5B6%5D=data_group_id%3A584&f%5B7%5D=file_spec%3A178&f%5B8%5D=state_name%3AMINNESOTA,https://eddataexpress.ed.gov/download/data-builder/data-download-tool,,,,,,60695.0,,,,,,,,,,,,,48.1,,,,,,,,,,,,
