state,state_name,assessment,subject,subject_label,grade,school_year,administration_year,tier_rank,tier_id,tier_label,pct_students,is_below_basic_analog,below_basic_analog_label,source_value_kind,notes,source_url,source_page_url
AK,Alaska,AK STAR,ELA,English Language Arts,03,2024-2025,2025,1,needs_support,Needs Support,36.3,True,Needs Support,reported_exact_tier,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AK,Alaska,AK STAR,ELA,English Language Arts,03,2024-2025,2025,2,approaching_proficient,Approaching Proficient,35.0,False,Needs Support,reported_exact_tier,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AK,Alaska,AK STAR,ELA,English Language Arts,03,2024-2025,2025,3,proficient,Proficient,18.8,False,Needs Support,reported_exact_tier,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AK,Alaska,AK STAR,ELA,English Language Arts,03,2024-2025,2025,4,advanced,Advanced,9.9,False,Needs Support,reported_exact_tier,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,1,level_1,Level 1,29.3,True,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,2,level_2,Level 2,34.8,False,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,3,level_3,Level 3,21.1,False,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,4,level_4,Level 4,14.8,False,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
CO,Colorado,CMAS,ELA,English Language Arts,03,2024-2025,2025,1,did_not_yet_meet_expectations,Did Not Yet Meet Expectations,22.4,True,Did Not Yet Meet Expectations,reported_exact_tier,Colorado publishes exact CMAS performance-level percentages for statewide Grade 3 ELA.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CO,Colorado,CMAS,ELA,English Language Arts,03,2024-2025,2025,2,partially_met_expectations,Partially Met Expectations,15.7,False,Did Not Yet Meet Expectations,reported_exact_tier,Colorado publishes exact CMAS performance-level percentages for statewide Grade 3 ELA.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CO,Colorado,CMAS,ELA,English Language Arts,03,2024-2025,2025,3,approached_expectations,Approached Expectations,19.9,False,Did Not Yet Meet Expectations,reported_exact_tier,Colorado publishes exact CMAS performance-level percentages for statewide Grade 3 ELA.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CO,Colorado,CMAS,ELA,English Language Arts,03,2024-2025,2025,4,met_expectations,Met Expectations,37.7,False,Did Not Yet Meet Expectations,reported_exact_tier,Colorado publishes exact CMAS performance-level percentages for statewide Grade 3 ELA.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CO,Colorado,CMAS,ELA,English Language Arts,03,2024-2025,2025,5,exceeded_expectations,Exceeded Expectations,4.3,False,Did Not Yet Meet Expectations,reported_exact_tier,Colorado publishes exact CMAS performance-level percentages for statewide Grade 3 ELA.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CT,Connecticut,Smarter Balanced,ELA,English Language Arts,03,2024-2025,2025,1,level_1_not_met,Level 1 Not Met,30.7,True,Level 1 Not Met,reported_exact_tier,Connecticut EdSight's public Smarter Balanced report publishes the statewide Grade 3 ELA performance-level percentages directly for All Students.,https://edsight.ct.gov/SASStoredProcess/guest?_grade=3&_year=2024-25&_district=State+of+Connecticut&_school=&_subject=ELA&_subgroup=All+Students&_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FSmarterBalancedAssessmentReport_SiteCore&_select=Submit,https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation
CT,Connecticut,Smarter Balanced,ELA,English Language Arts,03,2024-2025,2025,2,level_2_approaching,Level 2 Approaching,22.4,False,Level 1 Not Met,reported_exact_tier,Connecticut EdSight's public Smarter Balanced report publishes the statewide Grade 3 ELA performance-level percentages directly for All Students.,https://edsight.ct.gov/SASStoredProcess/guest?_grade=3&_year=2024-25&_district=State+of+Connecticut&_school=&_subject=ELA&_subgroup=All+Students&_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FSmarterBalancedAssessmentReport_SiteCore&_select=Submit,https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation
CT,Connecticut,Smarter Balanced,ELA,English Language Arts,03,2024-2025,2025,3,level_3_met,Level 3 Met,20.8,False,Level 1 Not Met,reported_exact_tier,Connecticut EdSight's public Smarter Balanced report publishes the statewide Grade 3 ELA performance-level percentages directly for All Students.,https://edsight.ct.gov/SASStoredProcess/guest?_grade=3&_year=2024-25&_district=State+of+Connecticut&_school=&_subject=ELA&_subgroup=All+Students&_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FSmarterBalancedAssessmentReport_SiteCore&_select=Submit,https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation
CT,Connecticut,Smarter Balanced,ELA,English Language Arts,03,2024-2025,2025,4,level_4_exceeded,Level 4 Exceeded,26.0,False,Level 1 Not Met,reported_exact_tier,Connecticut EdSight's public Smarter Balanced report publishes the statewide Grade 3 ELA performance-level percentages directly for All Students.,https://edsight.ct.gov/SASStoredProcess/guest?_grade=3&_year=2024-25&_district=State+of+Connecticut&_school=&_subject=ELA&_subgroup=All+Students&_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FSmarterBalancedAssessmentReport_SiteCore&_select=Submit,https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation
DC,District of Columbia,DC CAPE,ELA,English Language Arts,03,2024-2025,2025,1,level_1,Did Not Yet Meet Expectations,34.4,True,Did Not Yet Meet Expectations,reported_exact_tier,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106
DC,District of Columbia,DC CAPE,ELA,English Language Arts,03,2024-2025,2025,2,level_2,Partially Met Expectations,17.1,False,Did Not Yet Meet Expectations,reported_exact_tier,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106
DC,District of Columbia,DC CAPE,ELA,English Language Arts,03,2024-2025,2025,3,level_3,Approached Expectations,18.3,False,Did Not Yet Meet Expectations,reported_exact_tier,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106
DC,District of Columbia,DC CAPE,ELA,English Language Arts,03,2024-2025,2025,4,level_4,Met Expectations,26.2,False,Did Not Yet Meet Expectations,reported_exact_tier,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106
DC,District of Columbia,DC CAPE,ELA,English Language Arts,03,2024-2025,2025,5,level_5,Exceeded Expectations,4.0,False,Did Not Yet Meet Expectations,reported_exact_tier,"OSSE publishes exact statewide Grade 3 DC CAPE ELA performance levels on the Performance Level sheet. Those exact tiers are DC CAPE-only; OSSE's separate Meeting/Exceeding tab combines DC CAPE and MSAA, so its 30.4 percent proficiency figure is slightly above the DC CAPE-only Level 4+5 total.",https://app.box.com/index.php?rm=box_download_shared_file&shared_name=l1fz6ucfcut7q7pg8qzbo3l9ffb19pmm&file_id=f_1962534999838,https://osse.dc.gov/node/1794106
FL,Florida,FAST,ELA,English Language Arts,03,2024-2025,2025,1,level_1,Level 1,22.0,True,Level 1,reported_exact_tier,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the district report workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
FL,Florida,FAST,ELA,English Language Arts,03,2024-2025,2025,2,level_2,Level 2,21.0,False,Level 1,reported_exact_tier,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the district report workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
FL,Florida,FAST,ELA,English Language Arts,03,2024-2025,2025,3,level_3,Level 3,23.0,False,Level 1,reported_exact_tier,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the district report workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
FL,Florida,FAST,ELA,English Language Arts,03,2024-2025,2025,4,level_4,Level 4,21.0,False,Level 1,reported_exact_tier,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the district report workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
FL,Florida,FAST,ELA,English Language Arts,03,2024-2025,2025,5,level_5,Level 5,14.0,False,Level 1,reported_exact_tier,Florida publishes exact statewide Grade 3 FAST ELA PM3 percentages for Levels 1 through 5 in the district report workbook.,https://origin.fldoe.org/core/fileparse.php/5668/urlt/3ELA03SRDSpring25.xls,https://www.fldoe.org/accountability/assessments/k-12-student-assessment/results/2025.stml
GA,Georgia,Georgia Milestones,ELA,English Language Arts,03,2024-2025,2025,1,beginning_learner,Beginning Learner,36.902085920430075,True,Beginning Learner,reported_exact_tier,Georgia publishes exact statewide Grade 3 Georgia Milestones ELA performance-level percentages in the state summary workbook.,https://url.gadoe.org/r9zz0,https://gadoe.org/assessment-accountability/georgia-milestones/
GA,Georgia,Georgia Milestones,ELA,English Language Arts,03,2024-2025,2025,2,developing_learner,Developing Learner,28.17800273511797,False,Beginning Learner,reported_exact_tier,Georgia publishes exact statewide Grade 3 Georgia Milestones ELA performance-level percentages in the state summary workbook.,https://url.gadoe.org/r9zz0,https://gadoe.org/assessment-accountability/georgia-milestones/
GA,Georgia,Georgia Milestones,ELA,English Language Arts,03,2024-2025,2025,3,proficient_learner,Proficient Learner,23.626546363393434,False,Beginning Learner,reported_exact_tier,Georgia publishes exact statewide Grade 3 Georgia Milestones ELA performance-level percentages in the state summary workbook.,https://url.gadoe.org/r9zz0,https://gadoe.org/assessment-accountability/georgia-milestones/
GA,Georgia,Georgia Milestones,ELA,English Language Arts,03,2024-2025,2025,4,distinguished_learner,Distinguished Learner,11.293364981058522,False,Beginning Learner,reported_exact_tier,Georgia publishes exact statewide Grade 3 Georgia Milestones ELA performance-level percentages in the state summary workbook.,https://url.gadoe.org/r9zz0,https://gadoe.org/assessment-accountability/georgia-milestones/
IN,Indiana,ILEARN,ELA,English Language Arts,03,2024-2025,2025,1,below_proficiency,Below Proficiency,39.18,True,Below Proficiency,derived_exact_tier_from_published_counts,Indiana publishes statewide Grade 3 ILEARN counts by performance level. Percentages here are derived from those published counts and total tested.,https://secure.in.gov/doe/files/ILEARN-2025-Grade3-8-Final-Statewide-Summary_20250714.xlsx,https://secure.in.gov/doe/it/data-center-and-reports/
IN,Indiana,ILEARN,ELA,English Language Arts,03,2024-2025,2025,2,approaching_proficiency,Approaching Proficiency,20.56,False,Below Proficiency,derived_exact_tier_from_published_counts,Indiana publishes statewide Grade 3 ILEARN counts by performance level. Percentages here are derived from those published counts and total tested.,https://secure.in.gov/doe/files/ILEARN-2025-Grade3-8-Final-Statewide-Summary_20250714.xlsx,https://secure.in.gov/doe/it/data-center-and-reports/
IN,Indiana,ILEARN,ELA,English Language Arts,03,2024-2025,2025,3,at_proficiency,At Proficiency,23.26,False,Below Proficiency,derived_exact_tier_from_published_counts,Indiana publishes statewide Grade 3 ILEARN counts by performance level. Percentages here are derived from those published counts and total tested.,https://secure.in.gov/doe/files/ILEARN-2025-Grade3-8-Final-Statewide-Summary_20250714.xlsx,https://secure.in.gov/doe/it/data-center-and-reports/
IN,Indiana,ILEARN,ELA,English Language Arts,03,2024-2025,2025,4,above_proficiency,Above Proficiency,17.0,False,Below Proficiency,derived_exact_tier_from_published_counts,Indiana publishes statewide Grade 3 ILEARN counts by performance level. Percentages here are derived from those published counts and total tested.,https://secure.in.gov/doe/files/ILEARN-2025-Grade3-8-Final-Statewide-Summary_20250714.xlsx,https://secure.in.gov/doe/it/data-center-and-reports/
KY,Kentucky,KSA,ELA,Reading,03,2023-2024,2024,1,novice,Novice,24.8,True,Novice,reported_exact_tier,Kentucky publishes exact statewide Grade 3 Reading performance-level percentages in the KSA yearbook.,https://www.education.ky.gov/AA/Reports/Documents/KY1161534_KY_SP25_Yearbook.pdf,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx
KY,Kentucky,KSA,ELA,Reading,03,2023-2024,2024,2,apprentice,Apprentice,28.3,False,Novice,reported_exact_tier,Kentucky publishes exact statewide Grade 3 Reading performance-level percentages in the KSA yearbook.,https://www.education.ky.gov/AA/Reports/Documents/KY1161534_KY_SP25_Yearbook.pdf,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx
KY,Kentucky,KSA,ELA,Reading,03,2023-2024,2024,3,proficient,Proficient,28.8,False,Novice,reported_exact_tier,Kentucky publishes exact statewide Grade 3 Reading performance-level percentages in the KSA yearbook.,https://www.education.ky.gov/AA/Reports/Documents/KY1161534_KY_SP25_Yearbook.pdf,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx
KY,Kentucky,KSA,ELA,Reading,03,2023-2024,2024,4,distinguished,Distinguished,18.1,False,Novice,reported_exact_tier,Kentucky publishes exact statewide Grade 3 Reading performance-level percentages in the KSA yearbook.,https://www.education.ky.gov/AA/Reports/Documents/KY1161534_KY_SP25_Yearbook.pdf,https://www.education.ky.gov/AA/Assessments/Pages/KentuckySummativeAssessment-.aspx
LA,Louisiana,LEAP,ELA,English Language Arts,03,2024-2025,2025,1,unsatisfactory,Unsatisfactory,17.0,True,Unsatisfactory,reported_exact_tier,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results
LA,Louisiana,LEAP,ELA,English Language Arts,03,2024-2025,2025,2,approaching_basic,Approaching Basic,18.0,False,Unsatisfactory,reported_exact_tier,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results
LA,Louisiana,LEAP,ELA,English Language Arts,03,2024-2025,2025,3,basic,Basic,22.0,False,Unsatisfactory,reported_exact_tier,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results
LA,Louisiana,LEAP,ELA,English Language Arts,03,2024-2025,2025,4,mastery,Mastery,36.0,False,Unsatisfactory,reported_exact_tier,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results
LA,Louisiana,LEAP,ELA,English Language Arts,03,2024-2025,2025,5,advanced,Advanced,7.0,False,Unsatisfactory,reported_exact_tier,Louisiana publishes exact statewide Grade 3 LEAP ELA achievement-level percentages in the State LEA achievement summary workbook.,https://doe.louisiana.gov/docs/default-source/data-management/spring-2025-leap-2025-state-lea-achievement-level-summary.xlsx?sfvrsn=bdc2fd31_7,https://doe.louisiana.gov/resources/library/test-results
MA,Massachusetts,MCAS,ELA,English Language Arts,03,2024-2025,2025,1,not_meeting_expectations,Not Meeting Expectations,19.0,True,Not Meeting Expectations,reported_exact_tier,"Massachusetts School and District Profiles publishes the statewide 2025 MCAS Grade 3 ELA achievement-level split directly on the state profile page, including Exceeding, Meeting, Partially Meeting, and Not Meeting Expectations.",https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&,https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&
MA,Massachusetts,MCAS,ELA,English Language Arts,03,2024-2025,2025,2,partially_meeting_expectations,Partially Meeting Expectations,39.0,False,Not Meeting Expectations,reported_exact_tier,"Massachusetts School and District Profiles publishes the statewide 2025 MCAS Grade 3 ELA achievement-level split directly on the state profile page, including Exceeding, Meeting, Partially Meeting, and Not Meeting Expectations.",https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&,https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&
